prefix	sample_id
54058_ID1725_2-B-9S_S1_L001	B-9S
54059_ID1725_10-B-31A_S2_L001	B-31A
54062_ID1725_27-B-53S_S5_L001	B-53S
54063_ID1725_38-B-68S_S6_L001	B-68S
54077_ID1725_3-B-10S_S20_L001	B-10S
54078_ID1725_4-B-11S_S21_L001	B-11S
54079_ID1725_5-B-20S_S22_L001	B-20S
54080_ID1725_6-B-24S_S23_L001	B-24S
54081_ID1725_7-B-28S_S24_L001	B-28S
54082_ID1725_8-B-29S_S25_L001	B-29S
54083_ID1725_9-B-30S_S26_L001	B-30S
54087_ID1725_24-B-48S_S30_L001	B-48S
54088_ID1725_26-B-51S_S31_L001	B-51S
54095_ID1725_59-B-129S_S38_L001	B-129S
54096_ID1725_60-B-130S_S39_L001	B-130S
54104_ID1725_23-B-47S_S47_L001	B-47S
54105_ID1725_25-B-49A_S48_L001	B-49A
54107_ID1725_29-B-56S_S50_L001	B-56S
54108_ID1725_30-B-57B_S51_L001	B-57B
54111_ID1725_33-B-61S_S54_L001	B-61S
54112_ID1725_34-B-62A_S55_L001	B-62A
70310_ID2138_6_BO17_344_A_S112_L001	BO17_344A
70324_ID2138_20_BO17_241_S_S56_L001	BO17_241S
70333_ID2138_29_BO17_344_B_S65_L001	BO17_344B
70358_ID2138_54_BO17_240_S_S128_L001	BO17_240S
70359_ID2138_55_BO17_244_S_S129_L001	BO17_244S
70376_ID2138_72_BO17_312_S_S146_L001	BO17_312S
70378_ID2138_74_BO17_318_S_S148_L001	BO17_318S
70424_ID2138_120_BO17_319_S_S45_L001	BO17_319S
70320_ID2138_16_ZU19_87_S_S122_L001	ZU19_87S
70321_ID2138_17_ZU19_90_S_S123_L001	ZU19_90S
70344_ID2138_40_ZU19_099_S_S76_L001	ZU19_099S
70347_ID2138_43_ZU19_109_S_S79_L001	ZU19_109S
70348_ID2138_44_ZU19_83_B_S80_L001	ZU19_83B 
70353_ID2138_49_ZU19_028_S_S85_L001	ZU19_028S
70392_ID2138_88_ZU19_082_S_S162_L001	ZU19_082S
70393_ID2138_89_ZU19_72_S_S163_L001	ZU19_72S
70395_ID2138_91_ZU19_91_S_S165_L001	ZU19_91S
70396_ID2138_92_ZU19_42_S_S166_L001	ZU19_42S
70400_ID2138_96_ZU19_044_B_S170_L001	ZU19_044B
70420_ID2138_116_ZU19_92_B_S190_L001	ZU19_92B
70421_ID2138_117_ZU19_046_B_S191_L001	ZU19_046B
